
injection: 0, rbf_PE_time: 2.88 minutes, sim_time: 9.82 minutes
injection: 27, rbf_PE_time: 2.13 minutes, sim_time: 5.73 minutes
injection: 28, rbf_PE_time: 1.95 minutes, sim_time: 5.37 minutes
injection: 29, rbf_PE_time: 1.91 minutes, sim_time: 5.34 minutes
injection: 30, rbf_PE_time: 1.89 minutes, sim_time: 5.99 minutes
injection: 31, rbf_PE_time: 2.09 minutes, sim_time: 5.78 minutes
injection: 32, rbf_PE_time: 2.21 minutes, sim_time: 5.50 minutes
injection: 33, rbf_PE_time: 2.31 minutes, sim_time: 5.69 minutes
injection: 34, rbf_PE_time: 2.02 minutes, sim_time: 5.28 minutes
injection: 35, rbf_PE_time: 2.02 minutes, sim_time: 5.57 minutes
injection: 36, rbf_PE_time: 2.01 minutes, sim_time: 5.41 minutes
injection: 37, rbf_PE_time: 2.36 minutes, sim_time: 5.73 minutes
injection: 38, rbf_PE_time: 1.91 minutes, sim_time: 5.39 minutes
injection: 39, rbf_PE_time: 1.83 minutes, sim_time: 5.33 minutes
injection: 40, rbf_PE_time: 1.95 minutes, sim_time: 5.18 minutes
injection: 41, rbf_PE_time: 2.68 minutes, sim_time: 6.19 minutes
injection: 42, rbf_PE_time: 1.73 minutes, sim_time: 5.33 minutes
injection: 43, rbf_PE_time: 2.18 minutes, sim_time: 5.88 minutes
injection: 44, rbf_PE_time: 1.92 minutes, sim_time: 5.79 minutes
injection: 45, rbf_PE_time: 1.98 minutes, sim_time: 5.58 minutes
injection: 46, rbf_PE_time: 1.76 minutes, sim_time: 5.19 minutes
injection: 47, rbf_PE_time: 1.83 minutes, sim_time: 5.31 minutes
injection: 48, rbf_PE_time: 2.70 minutes, sim_time: 6.38 minutes
injection: 49, rbf_PE_time: 2.16 minutes, sim_time: 5.69 minutes
injection: 50, rbf_PE_time: 1.78 minutes, sim_time: 5.17 minutes
injection: 51, rbf_PE_time: 1.97 minutes, sim_time: 5.76 minutes
injection: 52, rbf_PE_time: 2.60 minutes, sim_time: 5.88 minutes
injection: 53, rbf_PE_time: 1.83 minutes, sim_time: 5.20 minutes
injection: 54, rbf_PE_time: 2.42 minutes, sim_time: 6.04 minutes
injection: 55, rbf_PE_time: 2.10 minutes, sim_time: 5.91 minutes
injection: 56, rbf_PE_time: 1.85 minutes, sim_time: 5.32 minutes
injection: 57, rbf_PE_time: 2.10 minutes, sim_time: 5.74 minutes
injection: 58, rbf_PE_time: 2.18 minutes, sim_time: 5.79 minutes
injection: 59, rbf_PE_time: 3.09 minutes, sim_time: 6.48 minutes
injection: 60, rbf_PE_time: 2.20 minutes, sim_time: 5.84 minutes
injection: 61, rbf_PE_time: 1.75 minutes, sim_time: 5.25 minutes
injection: 62, rbf_PE_time: 1.93 minutes, sim_time: 5.45 minutes
injection: 63, rbf_PE_time: 2.24 minutes, sim_time: 5.50 minutes
injection: 64, rbf_PE_time: 2.11 minutes, sim_time: 5.73 minutes
injection: 65, rbf_PE_time: 2.12 minutes, sim_time: 5.47 minutes
injection: 66, rbf_PE_time: 2.07 minutes, sim_time: 5.69 minutes
injection: 67, rbf_PE_time: 2.42 minutes, sim_time: 5.88 minutes
injection: 68, rbf_PE_time: 2.16 minutes, sim_time: 5.75 minutes
injection: 69, rbf_PE_time: 1.88 minutes, sim_time: 5.37 minutes
injection: 70, rbf_PE_time: 2.25 minutes, sim_time: 5.80 minutes
injection: 71, rbf_PE_time: 1.86 minutes, sim_time: 5.35 minutes
injection: 72, rbf_PE_time: 1.91 minutes, sim_time: 5.90 minutes
injection: 73, rbf_PE_time: 1.95 minutes, sim_time: 5.53 minutes
injection: 74, rbf_PE_time: 1.98 minutes, sim_time: 5.38 minutes
injection: 75, rbf_PE_time: 1.91 minutes, sim_time: 5.37 minutes
injection: 76, rbf_PE_time: 2.00 minutes, sim_time: 5.48 minutes
injection: 77, rbf_PE_time: 1.75 minutes, sim_time: 5.63 minutes
injection: 78, rbf_PE_time: 1.94 minutes, sim_time: 5.71 minutes
injection: 79, rbf_PE_time: 1.88 minutes, sim_time: 5.62 minutes
injection: 80, rbf_PE_time: 1.86 minutes, sim_time: 5.22 minutes
injection: 81, rbf_PE_time: 2.35 minutes, sim_time: 5.75 minutes
injection: 82, rbf_PE_time: 2.48 minutes, sim_time: 6.13 minutes
injection: 83, rbf_PE_time: 1.85 minutes, sim_time: 5.48 minutes
injection: 84, rbf_PE_time: 2.04 minutes, sim_time: 5.58 minutes
injection: 85, rbf_PE_time: 1.83 minutes, sim_time: 5.32 minutes
injection: 86, rbf_PE_time: 2.25 minutes, sim_time: 5.70 minutes
injection: 87, rbf_PE_time: 2.22 minutes, sim_time: 5.95 minutes
injection: 88, rbf_PE_time: 2.24 minutes, sim_time: 5.76 minutes
injection: 89, rbf_PE_time: 2.31 minutes, sim_time: 5.86 minutes
injection: 90, rbf_PE_time: 1.84 minutes, sim_time: 5.29 minutes
injection: 91, rbf_PE_time: 2.01 minutes, sim_time: 5.61 minutes
injection: 92, rbf_PE_time: 2.32 minutes, sim_time: 5.84 minutes
injection: 93, rbf_PE_time: 2.09 minutes, sim_time: 5.59 minutes
injection: 94, rbf_PE_time: 2.06 minutes, sim_time: 5.66 minutes
injection: 95, rbf_PE_time: 1.98 minutes, sim_time: 5.41 minutes
injection: 96, rbf_PE_time: 2.01 minutes, sim_time: 5.37 minutes
injection: 97, rbf_PE_time: 1.82 minutes, sim_time: 5.05 minutes
injection: 98, rbf_PE_time: 2.77 minutes, sim_time: 6.17 minutes
injection: 99, rbf_PE_time: 2.15 minutes, sim_time: 5.72 minutes
injection: 100, rbf_PE_time: 2.56 minutes, sim_time: 6.26 minutes
injection: 101, rbf_PE_time: 2.09 minutes, sim_time: 5.49 minutes
injection: 102, rbf_PE_time: 1.93 minutes, sim_time: 5.40 minutes
injection: 103, rbf_PE_time: 1.93 minutes, sim_time: 5.31 minutes
injection: 104, rbf_PE_time: 1.85 minutes, sim_time: 5.37 minutes
injection: 105, rbf_PE_time: 2.24 minutes, sim_time: 5.67 minutes
injection: 106, rbf_PE_time: 2.23 minutes, sim_time: 5.65 minutes
injection: 107, rbf_PE_time: 2.01 minutes, sim_time: 5.53 minutes
injection: 108, rbf_PE_time: 1.81 minutes, sim_time: 5.37 minutes
injection: 109, rbf_PE_time: 1.80 minutes, sim_time: 5.32 minutes
injection: 110, rbf_PE_time: 3.22 minutes, sim_time: 6.77 minutes
injection: 111, rbf_PE_time: 2.10 minutes, sim_time: 5.66 minutes
injection: 112, rbf_PE_time: 2.57 minutes, sim_time: 6.18 minutes
injection: 113, rbf_PE_time: 3.10 minutes, sim_time: 6.42 minutes
injection: 114, rbf_PE_time: 1.94 minutes, sim_time: 5.23 minutes
injection: 115, rbf_PE_time: 2.21 minutes, sim_time: 5.63 minutes
injection: 116, rbf_PE_time: 1.85 minutes, sim_time: 5.34 minutes
injection: 117, rbf_PE_time: 3.03 minutes, sim_time: 6.58 minutes
injection: 118, rbf_PE_time: 2.04 minutes, sim_time: 5.62 minutes
injection: 119, rbf_PE_time: 2.90 minutes, sim_time: 6.27 minutes
injection: 120, rbf_PE_time: 2.05 minutes, sim_time: 5.34 minutes
injection: 121, rbf_PE_time: 2.19 minutes, sim_time: 6.01 minutes
injection: 122, rbf_PE_time: 2.04 minutes, sim_time: 5.56 minutes
injection: 123, rbf_PE_time: 1.91 minutes, sim_time: 5.11 minutes
injection: 124, rbf_PE_time: 2.37 minutes, sim_time: 5.78 minutes
injection: 125, rbf_PE_time: 2.23 minutes, sim_time: 5.66 minutes
injection: 126, rbf_PE_time: 2.13 minutes, sim_time: 5.55 minutes
injection: 127, rbf_PE_time: 1.85 minutes, sim_time: 5.17 minutes
injection: 128, rbf_PE_time: 1.78 minutes, sim_time: 5.29 minutes
injection: 129, rbf_PE_time: 1.73 minutes, sim_time: 5.16 minutes
injection: 130, rbf_PE_time: 2.01 minutes, sim_time: 5.55 minutes
injection: 131, rbf_PE_time: 2.04 minutes, sim_time: 5.58 minutes
injection: 132, rbf_PE_time: 2.04 minutes, sim_time: 5.54 minutes
injection: 133, rbf_PE_time: 2.41 minutes, sim_time: 5.96 minutes
injection: 134, rbf_PE_time: 2.18 minutes, sim_time: 5.53 minutes
injection: 135, rbf_PE_time: 1.88 minutes, sim_time: 5.20 minutes
injection: 136, rbf_PE_time: 3.05 minutes, sim_time: 6.34 minutes
injection: 137, rbf_PE_time: 2.10 minutes, sim_time: 5.30 minutes
injection: 138, rbf_PE_time: 1.90 minutes, sim_time: 5.50 minutes
injection: 139, rbf_PE_time: 2.56 minutes, sim_time: 6.21 minutes
injection: 140, rbf_PE_time: 1.89 minutes, sim_time: 5.30 minutes
injection: 141, rbf_PE_time: 2.25 minutes, sim_time: 5.77 minutes
injection: 142, rbf_PE_time: 1.89 minutes, sim_time: 5.35 minutes
injection: 143, rbf_PE_time: 2.01 minutes, sim_time: 5.59 minutes
injection: 144, rbf_PE_time: 2.04 minutes, sim_time: 5.44 minutes
injection: 145, rbf_PE_time: 1.92 minutes, sim_time: 5.40 minutes
injection: 146, rbf_PE_time: 1.86 minutes, sim_time: 5.52 minutes
injection: 147, rbf_PE_time: 2.44 minutes, sim_time: 5.84 minutes
injection: 148, rbf_PE_time: 2.79 minutes, sim_time: 6.35 minutes
injection: 149, rbf_PE_time: 2.30 minutes, sim_time: 5.73 minutes
injection: 150, rbf_PE_time: 1.96 minutes, sim_time: 5.45 minutes
injection: 151, rbf_PE_time: 2.02 minutes, sim_time: 5.52 minutes
injection: 152, rbf_PE_time: 2.02 minutes, sim_time: 5.48 minutes
injection: 153, rbf_PE_time: 3.16 minutes, sim_time: 6.66 minutes
injection: 154, rbf_PE_time: 1.92 minutes, sim_time: 5.24 minutes
injection: 155, rbf_PE_time: 1.93 minutes, sim_time: 5.34 minutes
injection: 156, rbf_PE_time: 2.84 minutes, sim_time: 6.72 minutes
injection: 157, rbf_PE_time: 1.93 minutes, sim_time: 5.69 minutes
injection: 158, rbf_PE_time: 1.99 minutes, sim_time: 5.40 minutes
injection: 159, rbf_PE_time: 2.13 minutes, sim_time: 5.67 minutes
injection: 160, rbf_PE_time: 2.04 minutes, sim_time: 5.58 minutes
injection: 161, rbf_PE_time: 2.16 minutes, sim_time: 5.60 minutes
injection: 162, rbf_PE_time: 2.04 minutes, sim_time: 5.46 minutes
injection: 163, rbf_PE_time: 2.36 minutes, sim_time: 5.72 minutes
injection: 164, rbf_PE_time: 2.26 minutes, sim_time: 5.94 minutes
injection: 165, rbf_PE_time: 2.31 minutes, sim_time: 5.81 minutes
injection: 166, rbf_PE_time: 2.12 minutes, sim_time: 5.53 minutes
injection: 167, rbf_PE_time: 1.94 minutes, sim_time: 5.57 minutes
injection: 168, rbf_PE_time: 2.22 minutes, sim_time: 5.50 minutes
injection: 169, rbf_PE_time: 2.01 minutes, sim_time: 5.38 minutes
injection: 170, rbf_PE_time: 2.16 minutes, sim_time: 5.64 minutes
injection: 171, rbf_PE_time: 1.97 minutes, sim_time: 5.27 minutes
injection: 172, rbf_PE_time: 2.16 minutes, sim_time: 6.21 minutes
injection: 173, rbf_PE_time: 2.29 minutes, sim_time: 5.88 minutes
injection: 174, rbf_PE_time: 2.16 minutes, sim_time: 5.74 minutes
injection: 175, rbf_PE_time: 2.21 minutes, sim_time: 5.45 minutes
injection: 176, rbf_PE_time: 1.77 minutes, sim_time: 5.23 minutes
injection: 177, rbf_PE_time: 2.05 minutes, sim_time: 5.57 minutes
injection: 178, rbf_PE_time: 2.03 minutes, sim_time: 5.38 minutes
injection: 179, rbf_PE_time: 2.15 minutes, sim_time: 5.86 minutes
injection: 180, rbf_PE_time: 2.10 minutes, sim_time: 5.60 minutes
injection: 181, rbf_PE_time: 2.09 minutes, sim_time: 5.92 minutes
injection: 182, rbf_PE_time: 2.11 minutes, sim_time: 5.81 minutes
injection: 183, rbf_PE_time: 2.30 minutes, sim_time: 5.91 minutes
injection: 184, rbf_PE_time: 2.08 minutes, sim_time: 5.38 minutes
injection: 185, rbf_PE_time: 2.31 minutes, sim_time: 5.78 minutes
injection: 186, rbf_PE_time: 1.89 minutes, sim_time: 5.46 minutes
injection: 187, rbf_PE_time: 2.28 minutes, sim_time: 5.85 minutes
injection: 188, rbf_PE_time: 2.18 minutes, sim_time: 6.08 minutes
injection: 189, rbf_PE_time: 2.33 minutes, sim_time: 5.83 minutes
injection: 190, rbf_PE_time: 2.14 minutes, sim_time: 5.56 minutes
injection: 191, rbf_PE_time: 1.95 minutes, sim_time: 5.59 minutes
injection: 192, rbf_PE_time: 2.11 minutes, sim_time: 5.65 minutes
injection: 193, rbf_PE_time: 2.18 minutes, sim_time: 5.72 minutes
injection: 194, rbf_PE_time: 2.06 minutes, sim_time: 5.88 minutes
injection: 195, rbf_PE_time: 1.72 minutes, sim_time: 5.00 minutes
injection: 196, rbf_PE_time: 1.95 minutes, sim_time: 5.47 minutes
injection: 197, rbf_PE_time: 1.87 minutes, sim_time: 5.12 minutes
injection: 198, rbf_PE_time: 2.22 minutes, sim_time: 5.61 minutes
injection: 199, rbf_PE_time: 2.23 minutes, sim_time: 5.70 minutes
injection: 200, rbf_PE_time: 1.87 minutes, sim_time: 5.66 minutes
injection: 201, rbf_PE_time: 1.88 minutes, sim_time: 5.35 minutes
injection: 202, rbf_PE_time: 1.94 minutes, sim_time: 5.32 minutes
injection: 203, rbf_PE_time: 2.44 minutes, sim_time: 5.91 minutes
injection: 204, rbf_PE_time: 2.01 minutes, sim_time: 5.46 minutes
injection: 205, rbf_PE_time: 2.69 minutes, sim_time: 6.27 minutes
injection: 206, rbf_PE_time: 1.89 minutes, sim_time: 5.50 minutes
injection: 207, rbf_PE_time: 1.97 minutes, sim_time: 5.39 minutes
injection: 208, rbf_PE_time: 2.29 minutes, sim_time: 5.72 minutes
injection: 209, rbf_PE_time: 1.79 minutes, sim_time: 5.03 minutes
injection: 210, rbf_PE_time: 2.20 minutes, sim_time: 5.77 minutes
injection: 211, rbf_PE_time: 2.02 minutes, sim_time: 5.50 minutes
injection: 212, rbf_PE_time: 1.90 minutes, sim_time: 5.32 minutes
injection: 213, rbf_PE_time: 2.38 minutes, sim_time: 5.77 minutes
injection: 214, rbf_PE_time: 2.36 minutes, sim_time: 5.90 minutes
injection: 215, rbf_PE_time: 1.87 minutes, sim_time: 5.36 minutes
injection: 216, rbf_PE_time: 2.15 minutes, sim_time: 5.85 minutes
injection: 217, rbf_PE_time: 2.23 minutes, sim_time: 5.52 minutes
injection: 218, rbf_PE_time: 2.29 minutes, sim_time: 5.77 minutes
injection: 219, rbf_PE_time: 2.47 minutes, sim_time: 5.88 minutes
injection: 220, rbf_PE_time: 1.81 minutes, sim_time: 5.56 minutes
injection: 221, rbf_PE_time: 1.98 minutes, sim_time: 5.45 minutes
injection: 222, rbf_PE_time: 2.11 minutes, sim_time: 5.66 minutes
injection: 223, rbf_PE_time: 2.42 minutes, sim_time: 5.75 minutes
injection: 224, rbf_PE_time: 1.94 minutes, sim_time: 5.51 minutes
injection: 225, rbf_PE_time: 1.85 minutes, sim_time: 5.30 minutes
injection: 226, rbf_PE_time: 3.14 minutes, sim_time: 6.69 minutes
injection: 227, rbf_PE_time: 2.55 minutes, sim_time: 6.04 minutes
injection: 228, rbf_PE_time: 2.06 minutes, sim_time: 5.28 minutes
injection: 229, rbf_PE_time: 1.92 minutes, sim_time: 5.71 minutes
injection: 230, rbf_PE_time: 2.07 minutes, sim_time: 5.53 minutes
injection: 231, rbf_PE_time: 1.98 minutes, sim_time: 5.57 minutes
injection: 232, rbf_PE_time: 2.00 minutes, sim_time: 5.50 minutes
injection: 233, rbf_PE_time: 2.87 minutes, sim_time: 6.24 minutes
injection: 234, rbf_PE_time: 1.87 minutes, sim_time: 5.37 minutes
injection: 235, rbf_PE_time: 1.99 minutes, sim_time: 5.45 minutes
injection: 236, rbf_PE_time: 1.85 minutes, sim_time: 5.30 minutes
injection: 237, rbf_PE_time: 2.04 minutes, sim_time: 5.51 minutes
injection: 238, rbf_PE_time: 2.08 minutes, sim_time: 5.52 minutes
injection: 239, rbf_PE_time: 2.78 minutes, sim_time: 6.38 minutes
injection: 240, rbf_PE_time: 2.05 minutes, sim_time: 5.36 minutes
injection: 241, rbf_PE_time: 2.19 minutes, sim_time: 5.67 minutes
injection: 242, rbf_PE_time: 2.82 minutes, sim_time: 6.21 minutes
injection: 243, rbf_PE_time: 2.54 minutes, sim_time: 6.00 minutes
injection: 244, rbf_PE_time: 2.30 minutes, sim_time: 5.75 minutes
injection: 245, rbf_PE_time: 2.13 minutes, sim_time: 5.58 minutes
injection: 246, rbf_PE_time: 1.94 minutes, sim_time: 5.32 minutes
injection: 247, rbf_PE_time: 2.78 minutes, sim_time: 6.39 minutes
injection: 248, rbf_PE_time: 2.31 minutes, sim_time: 5.78 minutes
injection: 249, rbf_PE_time: 2.37 minutes, sim_time: 5.80 minutes
injection: 250, rbf_PE_time: 2.12 minutes, sim_time: 5.60 minutes
injection: 251, rbf_PE_time: 2.10 minutes, sim_time: 5.69 minutes
injection: 252, rbf_PE_time: 2.03 minutes, sim_time: 5.44 minutes
injection: 253, rbf_PE_time: 2.69 minutes, sim_time: 6.10 minutes
injection: 254, rbf_PE_time: 2.19 minutes, sim_time: 5.72 minutes
injection: 255, rbf_PE_time: 2.15 minutes, sim_time: 5.66 minutes
injection: 256, rbf_PE_time: 2.25 minutes, sim_time: 5.61 minutes
injection: 257, rbf_PE_time: 2.32 minutes, sim_time: 5.86 minutes
injection: 258, rbf_PE_time: 2.12 minutes, sim_time: 5.41 minutes
injection: 259, rbf_PE_time: 2.05 minutes, sim_time: 5.54 minutes
injection: 260, rbf_PE_time: 2.00 minutes, sim_time: 5.45 minutes
injection: 261, rbf_PE_time: 2.44 minutes, sim_time: 5.99 minutes
injection: 262, rbf_PE_time: 2.38 minutes, sim_time: 5.95 minutes
injection: 263, rbf_PE_time: 1.93 minutes, sim_time: 5.30 minutes
injection: 264, rbf_PE_time: 2.25 minutes, sim_time: 5.52 minutes
injection: 265, rbf_PE_time: 2.24 minutes, sim_time: 5.72 minutes
injection: 266, rbf_PE_time: 2.01 minutes, sim_time: 5.48 minutes
injection: 267, rbf_PE_time: 2.07 minutes, sim_time: 5.63 minutes
injection: 268, rbf_PE_time: 2.22 minutes, sim_time: 5.71 minutes
injection: 269, rbf_PE_time: 2.33 minutes, sim_time: 5.68 minutes
injection: 270, rbf_PE_time: 2.52 minutes, sim_time: 6.50 minutes
injection: 271, rbf_PE_time: 2.16 minutes, sim_time: 5.56 minutes
injection: 272, rbf_PE_time: 2.41 minutes, sim_time: 5.86 minutes
injection: 273, rbf_PE_time: 2.43 minutes, sim_time: 5.75 minutes
injection: 274, rbf_PE_time: 2.06 minutes, sim_time: 5.68 minutes
injection: 275, rbf_PE_time: 1.92 minutes, sim_time: 5.40 minutes
injection: 276, rbf_PE_time: 3.15 minutes, sim_time: 6.57 minutes
injection: 277, rbf_PE_time: 3.24 minutes, sim_time: 6.78 minutes
injection: 278, rbf_PE_time: 2.14 minutes, sim_time: 5.72 minutes
injection: 279, rbf_PE_time: 1.88 minutes, sim_time: 5.64 minutes
injection: 280, rbf_PE_time: 2.39 minutes, sim_time: 5.98 minutes
injection: 281, rbf_PE_time: 2.20 minutes, sim_time: 5.75 minutes
injection: 282, rbf_PE_time: 1.93 minutes, sim_time: 5.57 minutes
injection: 283, rbf_PE_time: 2.46 minutes, sim_time: 5.92 minutes
injection: 284, rbf_PE_time: 2.30 minutes, sim_time: 5.95 minutes
injection: 285, rbf_PE_time: 2.39 minutes, sim_time: 5.88 minutes
injection: 286, rbf_PE_time: 2.05 minutes, sim_time: 5.52 minutes
injection: 287, rbf_PE_time: 2.17 minutes, sim_time: 5.89 minutes
injection: 288, rbf_PE_time: 2.50 minutes, sim_time: 6.06 minutes
injection: 289, rbf_PE_time: 2.34 minutes, sim_time: 5.72 minutes
injection: 290, rbf_PE_time: 2.74 minutes, sim_time: 6.27 minutes
injection: 291, rbf_PE_time: 2.82 minutes, sim_time: 6.33 minutes
injection: 292, rbf_PE_time: 2.07 minutes, sim_time: 5.76 minutes
injection: 293, rbf_PE_time: 2.07 minutes, sim_time: 5.34 minutes
injection: 294, rbf_PE_time: 1.93 minutes, sim_time: 5.41 minutes
injection: 295, rbf_PE_time: 2.25 minutes, sim_time: 5.75 minutes
injection: 296, rbf_PE_time: 1.89 minutes, sim_time: 5.44 minutes
injection: 297, rbf_PE_time: 2.25 minutes, sim_time: 5.99 minutes
injection: 298, rbf_PE_time: 2.24 minutes, sim_time: 5.74 minutes
injection: 299, rbf_PE_time: 2.83 minutes, sim_time: 6.12 minutes
injection: 300, rbf_PE_time: 2.10 minutes, sim_time: 5.55 minutes
injection: 301, rbf_PE_time: 2.15 minutes, sim_time: 5.55 minutes
injection: 302, rbf_PE_time: 2.99 minutes, sim_time: 6.76 minutes
injection: 303, rbf_PE_time: 2.17 minutes, sim_time: 5.54 minutes
injection: 304, rbf_PE_time: 2.05 minutes, sim_time: 5.42 minutes
injection: 305, rbf_PE_time: 1.77 minutes, sim_time: 5.67 minutes
injection: 306, rbf_PE_time: 2.95 minutes, sim_time: 6.48 minutes
injection: 307, rbf_PE_time: 2.19 minutes, sim_time: 5.69 minutes
injection: 308, rbf_PE_time: 2.84 minutes, sim_time: 6.11 minutes
injection: 309, rbf_PE_time: 1.78 minutes, sim_time: 5.26 minutes
injection: 310, rbf_PE_time: 1.84 minutes, sim_time: 5.43 minutes
injection: 311, rbf_PE_time: 2.07 minutes, sim_time: 5.54 minutes
injection: 312, rbf_PE_time: 2.31 minutes, sim_time: 5.82 minutes
injection: 313, rbf_PE_time: 2.07 minutes, sim_time: 5.67 minutes
injection: 314, rbf_PE_time: 2.43 minutes, sim_time: 5.81 minutes
injection: 315, rbf_PE_time: 1.99 minutes, sim_time: 5.54 minutes
injection: 316, rbf_PE_time: 2.09 minutes, sim_time: 5.89 minutes
injection: 317, rbf_PE_time: 1.87 minutes, sim_time: 5.29 minutes
injection: 318, rbf_PE_time: 2.71 minutes, sim_time: 6.07 minutes
injection: 319, rbf_PE_time: 2.22 minutes, sim_time: 5.97 minutes
injection: 320, rbf_PE_time: 2.22 minutes, sim_time: 5.64 minutes
injection: 321, rbf_PE_time: 2.03 minutes, sim_time: 5.65 minutes
injection: 322, rbf_PE_time: 1.95 minutes, sim_time: 5.52 minutes
injection: 323, rbf_PE_time: 2.00 minutes, sim_time: 5.39 minutes
injection: 324, rbf_PE_time: 1.86 minutes, sim_time: 5.36 minutes
injection: 325, rbf_PE_time: 3.17 minutes, sim_time: 6.55 minutes
injection: 326, rbf_PE_time: 2.15 minutes, sim_time: 5.58 minutes
injection: 327, rbf_PE_time: 1.83 minutes, sim_time: 5.30 minutes
injection: 328, rbf_PE_time: 2.38 minutes, sim_time: 5.69 minutes
injection: 329, rbf_PE_time: 2.08 minutes, sim_time: 5.49 minutes
injection: 330, rbf_PE_time: 1.92 minutes, sim_time: 5.63 minutes
injection: 331, rbf_PE_time: 1.88 minutes, sim_time: 5.11 minutes
injection: 332, rbf_PE_time: 2.06 minutes, sim_time: 5.49 minutes
injection: 333, rbf_PE_time: 2.05 minutes, sim_time: 5.71 minutes
injection: 334, rbf_PE_time: 2.99 minutes, sim_time: 6.49 minutes
injection: 335, rbf_PE_time: 1.88 minutes, sim_time: 5.41 minutes
injection: 336, rbf_PE_time: 2.22 minutes, sim_time: 5.98 minutes
injection: 337, rbf_PE_time: 2.62 minutes, sim_time: 6.08 minutes
injection: 338, rbf_PE_time: 2.13 minutes, sim_time: 5.59 minutes
injection: 339, rbf_PE_time: 1.92 minutes, sim_time: 5.55 minutes
injection: 340, rbf_PE_time: 2.62 minutes, sim_time: 6.07 minutes
injection: 341, rbf_PE_time: 2.29 minutes, sim_time: 5.77 minutes
injection: 342, rbf_PE_time: 2.41 minutes, sim_time: 6.14 minutes
injection: 343, rbf_PE_time: 2.27 minutes, sim_time: 5.72 minutes
injection: 344, rbf_PE_time: 1.93 minutes, sim_time: 5.46 minutes
injection: 345, rbf_PE_time: 2.15 minutes, sim_time: 5.65 minutes
injection: 346, rbf_PE_time: 2.13 minutes, sim_time: 5.52 minutes
injection: 347, rbf_PE_time: 2.37 minutes, sim_time: 5.73 minutes
injection: 348, rbf_PE_time: 2.20 minutes, sim_time: 5.63 minutes
injection: 349, rbf_PE_time: 2.25 minutes, sim_time: 5.65 minutes
injection: 350, rbf_PE_time: 2.21 minutes, sim_time: 5.81 minutes
injection: 351, rbf_PE_time: 2.28 minutes, sim_time: 5.75 minutes
injection: 352, rbf_PE_time: 2.05 minutes, sim_time: 5.53 minutes
injection: 353, rbf_PE_time: 2.45 minutes, sim_time: 5.93 minutes
injection: 354, rbf_PE_time: 2.07 minutes, sim_time: 5.56 minutes
injection: 355, rbf_PE_time: 2.59 minutes, sim_time: 5.98 minutes
injection: 356, rbf_PE_time: 2.48 minutes, sim_time: 5.97 minutes
injection: 357, rbf_PE_time: 1.95 minutes, sim_time: 5.42 minutes
injection: 358, rbf_PE_time: 2.65 minutes, sim_time: 6.08 minutes
injection: 359, rbf_PE_time: 2.01 minutes, sim_time: 5.44 minutes
injection: 360, rbf_PE_time: 2.16 minutes, sim_time: 5.76 minutes
injection: 361, rbf_PE_time: 2.92 minutes, sim_time: 6.41 minutes
injection: 362, rbf_PE_time: 2.97 minutes, sim_time: 6.22 minutes
injection: 363, rbf_PE_time: 2.13 minutes, sim_time: 5.58 minutes
injection: 364, rbf_PE_time: 2.54 minutes, sim_time: 5.96 minutes
injection: 365, rbf_PE_time: 2.92 minutes, sim_time: 7.08 minutes
injection: 366, rbf_PE_time: 2.24 minutes, sim_time: 5.81 minutes
